Time,Battery Voltage,Battery Current,Battery Level,GPS_Lat,GPS_Lon,GPS_Alt,CPU Usage,Ground_Speed,Air_Speed
2020-08-05 11:20:12.341588,20.197,32.84,48,13.0272172,77.5638093,929.95,24.5,0.317975372076,0.254000008106
2020-08-05 11:20:13.343036,19.945,42.55,48,13.0272192,77.5638099,929.95,22.5,0.544431209564,0.413000017405
2020-08-05 11:20:14.344763,20.223,31.61,48,13.0272208,77.563812,929.98,21.5,0.16419352591,0.214000016451
2020-08-05 11:20:15.348022,19.935,42.24,48,13.027222,77.5638122,930.0,23.0,0.132601156831,0.148000001907
2020-08-05 11:20:16.352003,20.223,31.04,48,13.027223,77.5638111,930.01,22.2,0.24270863831,0.443000018597
2020-08-05 11:20:17.354489,19.87,44.15,47,13.0272225,77.5638082,929.96,21.5,0.155938506126,0.165000006557
2020-08-05 11:20:18.357098,19.876,43.61,47,13.0272214,77.5638081,929.93,20.6,0.251536428928,0.432000011206
2020-08-05 11:20:19.359640,20.168,32.94,47,13.0272191,77.5638108,930.02,21.5,0.391156286001,0.118000008166
2020-08-05 11:20:20.363410,20.038,37.65,47,13.0272178,77.5638112,929.98,21.2,0.170036643744,0.301000028849
2020-08-05 11:20:21.365233,20.175,32.29,47,13.0272178,77.5638088,929.99,20.8,0.223082765937,0.187000006437
2020-08-05 11:20:22.368168,19.997,38.83,47,13.0272191,77.5638096,929.99,22.0,0.213472649455,0.333000004292
2020-08-05 11:20:23.370455,20.072,36.17,47,13.027217,77.5638116,930.0,20.8,0.170590296388,0.274000018835
2020-08-05 11:20:24.374362,20.117,34.01,47,13.0272182,77.5638098,929.99,21.8,0.295196086168,0.268000006676
2020-08-05 11:20:25.378288,19.952,40.37,47,13.027222,77.5638078,929.95,21.1,0.548377633095,0.529000043869
2020-08-05 11:20:26.381826,19.811,45.39,47,13.0272225,77.5638076,929.96,21.2,0.210496589541,0.161000013351
2020-08-05 11:20:27.386740,20.044,36.52,47,13.0272189,77.5638085,930.03,21.4,0.382671803236,0.396000027657
2020-08-05 11:20:28.391002,19.933,40.7,47,13.0272172,77.5638106,930.07,23.2,0.382833063602,0.374000012875
2020-08-05 11:20:29.397565,19.982,38.55,47,13.0272172,77.5638125,930.1,20.5,0.222223728895,0.49200001359
2020-08-05 11:20:30.400198,19.932,40.24,47,13.0272208,77.563812,930.05,21.6,0.423652648926,0.537000000477
2020-08-05 11:20:31.403064,20.085,34.55,47,13.0272204,77.5638091,930.06,20.9,0.254313260317,0.211000010371
2020-08-05 11:20:32.407900,20.009,37.13,47,13.0272216,77.5638094,930.04,21.2,0.182896047831,0.0300000011921
2020-08-05 11:20:33.411522,20.026,36.56,47,13.0272211,77.5638108,930.08,22.2,0.172274664044,0.112000003457
2020-08-05 11:20:34.415778,20.015,36.65,47,13.0272198,77.5638115,930.06,21.1,0.0974230244756,0.119000002742
2020-08-05 11:20:35.418828,19.941,39.2,47,13.02722,77.5638108,930.02,21.2,0.121515214443,0.130000010133
2020-08-05 11:20:36.421357,20.052,35.46,47,13.0272213,77.5638098,930.02,21.9,0.290431588888,0.171000003815
2020-08-05 11:20:37.423740,20.094,33.43,47,13.0272213,77.5638085,930.03,22.0,0.403934061527,0.270000010729
2020-08-05 11:20:38.425597,20.076,34.18,47,13.0272171,77.563807,929.95,20.8,0.37799808383,0.486000031233
2020-08-05 11:20:39.433018,20.006,36.46,47,13.027216,77.5638075,929.9,20.7,0.245776683092,0.322000026703
2020-08-05 11:20:40.438361,19.702,47.93,46,13.0272164,77.5638104,929.9,23.9,0.264761120081,0.23900000751
2020-08-05 11:20:41.441575,19.793,44.14,46,13.0272188,77.5638112,929.95,21.6,0.239634543657,0.273000001907
2020-08-05 11:20:42.446435,19.975,37.39,46,13.0272202,77.5638111,930.0,20.8,0.0575428083539,0.135000005364
2020-08-05 11:20:43.449018,19.954,37.9,46,13.0272201,77.5638104,930.03,21.6,0.0828083977103,0.0270000007004
2020-08-05 11:20:44.451506,19.978,36.98,46,13.0272201,77.5638092,930.05,20.8,0.125318005681,0.116000004113
2020-08-05 11:20:45.454505,19.955,37.78,46,13.0272191,77.5638087,930.07,20.5,0.0930347442627,0.117000006139
2020-08-05 11:20:46.457339,20.015,35.24,46,13.0272196,77.5638094,930.06,21.2,0.231693148613,0.20000000298
2020-08-05 11:20:47.459783,19.99,36.47,46,13.0272213,77.5638105,930.03,21.4,0.406417965889,0.40000000596
2020-08-05 11:20:48.462236,19.929,38.62,46,13.0272224,77.5638111,930.04,20.9,0.063348479569,0.196000009775
2020-08-05 11:20:49.464733,19.911,39.0,46,13.0272225,77.5638109,930.07,20.9,0.198081985116,0.207000017166
2020-08-05 11:20:50.466872,20.059,33.24,46,13.0272215,77.5638087,930.09,21.8,0.128253951669,0.113000005484
2020-08-05 11:20:51.471265,20.013,34.85,46,13.0272193,77.5638083,930.09,20.9,0.466838896275,0.435000032187
2020-08-05 11:20:52.474100,19.981,36.07,46,13.0272163,77.5638081,930.08,22.9,0.107586435974,0.155000001192
2020-08-05 11:20:53.477156,20.015,34.6,46,13.0272161,77.5638089,930.05,21.5,0.12577714026,0.101000003517
2020-08-05 11:20:54.480224,19.945,37.29,46,13.0272186,77.5638099,930.09,22.2,0.37497267127,0.32000002265
2020-08-05 11:20:55.484411,19.987,35.54,46,13.027222,77.5638096,930.08,21.0,0.300560981035,0.357000023127
2020-08-05 11:20:56.486800,20.033,33.91,46,13.027223,77.5638087,930.09,20.5,0.103746213019,0.142000004649
2020-08-05 11:20:57.489454,20.044,33.53,46,13.0272212,77.5638083,930.1,20.9,0.284323960543,0.221000015736
2020-08-05 11:20:58.491568,19.938,37.39,46,13.0272203,77.5638092,930.11,21.5,0.260669708252,0.229000017047
2020-08-05 11:20:59.494262,20.048,33.04,46,13.0272193,77.5638107,930.09,21.6,0.14138558507,0.148000001907
2020-08-05 11:21:00.497841,19.981,35.53,46,13.0272195,77.5638116,930.08,23.0,0.0495954453945,0.101000003517
2020-08-05 11:21:01.499689,19.984,35.58,46,13.02722,77.563812,930.1,21.1,0.0222864635289,0.0780000016093
2020-08-05 11:21:02.503050,20.024,33.66,46,13.02722,77.5638118,930.1,21.4,0.0931588485837,0.0590000040829
2020-08-05 11:21:03.505077,19.981,35.68,46,13.0272204,77.563811,930.11,21.4,0.108617782593,0.0900000035763
2020-08-05 11:21:04.507570,20.013,34.35,45,13.0272208,77.5638108,930.09,21.6,0.0544559657574,0.0280000008643
2020-08-05 11:21:05.509946,19.908,38.44,45,13.027221,77.5638106,930.03,23.4,0.0789529085159,0.0220000017434
2020-08-05 11:21:06.513664,19.961,36.11,45,13.0272201,77.56381,929.99,21.3,0.10370516777,0.0880000069737
2020-08-05 11:21:07.516124,19.963,35.73,45,13.0272194,77.5638101,930.0,21.3,0.0445938557386,0.0600000023842
2020-08-05 11:21:08.518881,19.945,36.22,45,13.0272185,77.56381,929.96,21.7,0.116680458188,0.10300000757
2020-08-05 11:21:09.521173,19.919,37.26,45,13.0272186,77.5638094,929.97,20.6,0.148386925459,0.0329999998212
2020-08-05 11:21:10.523685,19.857,39.38,45,13.0272201,77.5638092,929.95,20.9,0.168299302459,0.143000006676
2020-08-05 11:21:11.526200,19.914,37.0,45,13.0272197,77.5638092,929.98,20.8,0.032657854259,0.0510000027716
2020-08-05 11:21:12.527847,20.007,33.56,45,13.0272201,77.5638089,930.01,20.2,0.092467457056,0.0270000007004
2020-08-05 11:21:13.530612,19.952,35.86,45,13.0272209,77.56381,930.03,21.9,0.214898139238,0.191000014544
2020-08-05 11:21:14.532447,19.933,36.19,45,13.0272209,77.5638109,930.04,21.7,0.0607067346573,0.0320000015199
2020-08-05 11:21:15.535191,19.892,37.73,45,13.0272199,77.5638099,930.0,21.4,0.137682512403,0.12800000608
2020-08-05 11:21:16.537849,19.943,35.7,45,13.0272195,77.563809,930.0,21.3,0.106209434569,0.130000010133
2020-08-05 11:21:17.542357,19.984,34.06,45,13.02722,77.5638094,930.02,22.7,0.151232525706,0.0800000056624
2020-08-05 11:21:18.544757,19.952,35.05,45,13.0272196,77.5638103,930.05,21.4,0.159326195717,0.105000004172
2020-08-05 11:21:19.546748,20.154,27.51,45,13.0272195,77.5638109,930.06,21.5,0.345017701387,0.170000001788
2020-08-05 11:21:20.549394,20.043,31.72,45,13.02722,77.5638123,930.09,21.0,0.0983384847641,0.248000010848
2020-08-05 11:21:21.552394,19.854,38.7,45,13.0272212,77.5638114,930.05,21.4,0.396051496267,0.207000017166
2020-08-05 11:21:22.554843,19.79,41.09,45,13.027223,77.5638085,930.03,21.5,0.301115989685,0.34500002861
2020-08-05 11:21:23.557347,19.934,35.24,45,13.027221,77.5638073,930.01,20.8,0.370093762875,0.292000025511
2020-08-05 11:21:24.560393,20.032,31.44,45,13.0272169,77.5638089,930.03,21.9,0.625406801701,0.450000017881
2020-08-05 11:21:25.563997,19.676,45.13,45,13.0272166,77.5638108,930.02,22.7,0.539590239525,0.553000032902
2020-08-05 11:21:26.569977,19.766,41.9,45,13.0272195,77.5638127,929.99,21.4,0.201524883509,0.241000011563
2020-08-05 11:21:27.572456,19.948,34.38,44,13.0272217,77.5638131,930.12,21.0,0.103212922812,0.0670000016689
2020-08-05 11:21:28.574598,19.967,33.64,44,13.027219,77.5638122,930.08,21.1,0.409493386745,0.163000002503
2020-08-05 11:21:29.578568,20.053,30.37,44,13.0272189,77.5638086,930.06,20.7,0.023524818942,0.310000002384
2020-08-05 11:21:30.581065,19.991,32.53,44,13.0272199,77.56381,930.09,20.9,0.223776131868,0.134000003338
2020-08-05 11:21:31.585141,19.819,39.42,44,13.0272204,77.5638105,930.05,21.1,0.218613415956,0.216000005603
2020-08-05 11:21:32.588437,20.016,31.57,44,13.0272223,77.5638106,930.08,21.6,0.111769780517,0.0590000040829
2020-08-05 11:21:33.591043,19.906,35.52,44,13.0272218,77.5638106,930.07,21.8,0.341472893953,0.225000008941
2020-08-05 11:21:34.594920,19.853,37.85,44,13.027222,77.5638085,930.06,20.8,0.412087202072,0.140000000596
2020-08-05 11:21:35.599294,19.887,36.46,44,13.0272208,77.5638078,930.02,21.0,0.126838177443,0.141000002623
2020-08-05 11:21:36.603600,19.776,40.21,44,13.0272198,77.5638086,930.0,21.2,0.405090212822,0.293000012636
2020-08-05 11:21:37.606949,19.886,35.98,44,13.0272182,77.56381,930.06,21.6,0.175446182489,0.235000014305
2020-08-05 11:21:38.609812,19.874,36.16,44,13.0272202,77.5638109,929.95,21.7,0.275887966156,0.30600002408
2020-08-05 11:21:39.612151,19.911,35.09,44,13.0272232,77.5638127,930.0,21.6,0.104629799724,0.455000013113
2020-08-05 11:21:40.614048,19.897,35.39,44,13.0272216,77.5638102,930.04,21.6,0.539756596088,0.428000032902
2020-08-05 11:21:41.618141,19.9,35.42,44,13.0272201,77.5638074,930.03,21.2,0.29549497366,0.438000023365
2020-08-05 11:21:42.620824,19.766,40.06,44,13.0272179,77.5638081,930.0,21.4,0.272180110216,0.302000015974
2020-08-05 11:21:43.623049,19.906,34.91,44,13.0272178,77.5638101,930.04,21.7,0.331915766001,0.269000023603
2020-08-05 11:21:44.625432,19.839,37.27,44,13.0272191,77.5638125,930.03,20.7,0.159373685718,0.246000006795
2020-08-05 11:21:45.628178,19.897,34.98,44,13.0272201,77.5638118,930.05,21.6,0.418657779694,0.429000020027
2020-08-05 11:21:46.630880,19.826,37.68,44,13.0272238,77.5638099,930.02,22.3,0.111313223839,0.218000009656
2020-08-05 11:21:47.635820,19.893,35.17,44,13.0272211,77.5638088,930.06,21.3,0.380353271961,0.338000029325
2020-08-05 11:21:48.639982,19.908,34.66,44,13.0272199,77.563808,930.05,22.7,0.0182688385248,0.229000017047
2020-08-05 11:21:49.644886,19.804,38.35,44,13.0272201,77.563809,930.03,21.1,0.160987690091,0.0940000042319
2020-08-05 11:21:50.648432,19.872,35.86,43,13.0272185,77.5638097,930.01,21.6,0.235472366214,0.233000010252
2020-08-05 11:21:51.651038,19.916,34.04,43,13.0272181,77.5638099,930.02,22.2,0.0650895684958,0.173000007868
2020-08-05 11:21:52.653732,19.801,38.28,43,13.0272197,77.5638105,930.01,20.8,0.19622682035,0.211000010371
2020-08-05 11:21:53.656239,19.921,33.59,43,13.0272197,77.5638103,930.02,21.2,0.110088422894,0.0830000042915
2020-08-05 11:21:54.659624,19.801,38.16,43,13.0272197,77.5638099,930.03,21.5,0.147639080882,0.0210000015795
2020-08-05 11:21:55.662176,19.848,36.2,43,13.0272208,77.56381,929.99,21.0,0.0325024873018,0.0200000014156
2020-08-05 11:21:56.664349,19.886,34.71,43,13.0272198,77.56381,929.99,20.8,0.104513809085,0.134000003338
2020-08-05 11:21:57.665933,19.901,34.05,43,13.0272193,77.5638096,929.99,22.3,0.110356912017,0.0550000034273
2020-08-05 11:21:58.668599,19.823,37.0,43,13.0272213,77.5638094,929.96,21.7,0.26856943965,0.194000005722
2020-08-05 11:21:59.672317,19.787,38.48,43,13.0272224,77.5638101,929.96,21.2,0.0494213886559,0.0250000003725
2020-08-05 11:22:00.674404,19.755,39.48,43,13.0272211,77.5638099,929.96,21.4,0.193439587951,0.217000007629
2020-08-05 11:22:01.676336,19.79,38.1,43,13.027221,77.5638077,929.95,20.8,0.112299725413,0.117000006139
2020-08-05 11:22:02.679069,19.823,36.86,43,13.0272199,77.5638082,929.94,20.9,0.263971507549,0.255000025034
2020-08-05 11:22:03.681817,19.785,38.26,43,13.0272191,77.5638088,929.97,20.9,0.182750433683,0.0920000076294
2020-08-05 11:22:04.684388,19.865,35.02,43,13.0272214,77.5638101,930.04,21.7,0.433084815741,0.521000027657
2020-08-05 11:22:05.687421,19.764,38.63,43,13.0272188,77.5638135,930.08,20.3,0.365641593933,0.397000014782
