Time,Battery Voltage,Battery Current,Battery Level,GPS_Lat,GPS_Lon,GPS_Alt,CPU Usage,Ground_Speed,Air_Speed,,
36:51.4,22.953,30.41,94,13.0272081,77.5638675,934.6,12.1,2.739656925,2.567000151,,
36:52.4,22.84,34.69,94,13.0271911,77.5638618,934.52,11.2,2.589422464,2.465000153,,
36:53.4,22.843,34.68,94,13.0271752,77.5638452,934.52,10.6,2.495335102,2.455000162,,
36:54.4,22.616,42.36,94,13.0271718,77.5638184,934.5,10.7,3.026699543,2.821000099,,
36:55.4,22.933,31.12,94,13.027176,77.5637886,934.52,12.4,2.975294352,3.014000177,,
36:56.4,22.65,41.3,94,13.0271793,77.5637719,934.47,12.5,1.683481455,2.101999998,,
36:57.4,22.893,32.37,94,13.0271821,77.5637646,934.54,11.7,0.882631719,0.849000037,,
36:58.5,22.772,36.59,94,13.0271935,77.5637666,934.57,11.9,2.191717386,1.667000055,,
36:59.5,22.899,31.77,94,13.0272226,77.5637724,934.59,12,3.223899126,3.209000111,,
37:00.5,22.943,30.7,93,13.0272476,77.5637778,934.54,13.6,3.102588415,3.357000113,,
37:01.5,22.958,29.92,93,13.02727,77.5637885,934.52,11.2,1.914806604,2.203999996,,
37:02.5,22.884,32.9,93,13.0272714,77.5638093,934.51,9.9,2.924338341,2.45600009,,
37:03.5,22.893,32.12,93,13.0272646,77.5638315,934.47,10,3.312808514,3.147000074,,
37:04.5,22.882,32.44,93,13.027249,77.5638551,934.45,12.5,2.611321449,2.778000116,,
37:05.5,22.865,32.91,93,13.0272241,77.5638611,934.51,11.7,2.729153633,2.5,,
37:06.5,22.994,28.04,93,13.0272021,77.5638597,934.54,11.4,3.107054234,2.904000044,,
37:07.5,22.809,34.55,93,13.0271768,77.5638514,934.55,11,2.246255398,2.554000139,,
37:08.5,22.722,37.6,93,13.0271686,77.563839,934.61,12.1,2.073716402,1.899000049,,
37:09.5,22.928,29.88,93,13.0271702,77.5638127,934.64,11.5,3.026928425,2.68200016,,
37:10.5,22.956,29.13,93,13.0271757,77.5637853,934.61,10.9,2.708490133,2.688000202,,
37:11.6,23.054,25.91,93,13.0271783,77.5637715,934.59,11.5,1.646480203,2.166000128,,
37:12.6,22.873,31.88,93,13.0271835,77.563764,934.52,12.5,1.439885616,0.730000019,,
37:13.6,22.745,36.54,93,13.0272039,77.5637691,934.49,12.2,2.825650454,2.376000166,,
37:14.6,22.915,29.88,93,13.0272274,77.5637755,934.5,13,3.603207588,3.516000271,,
37:15.6,22.82,33.86,93,13.0272598,77.563783,934.42,11.6,2.69708848,2.73300004,,
37:16.6,22.867,32.3,93,13.0272729,77.5637934,934.46,12.4,1.647108197,1.668000102,,
37:17.6,23.021,26.18,93,13.0272712,77.5638086,934.54,12.2,2.74537611,2.270000219,,
37:18.6,22.226,54.98,93,13.0272648,77.5638398,934.54,12.1,3.265637636,3.573000193,,
37:19.6,22.67,37.88,93,13.0272501,77.563862,934.55,11.3,2.222802877,2.326000214,,
37:20.6,22.708,36.93,93,13.02724,77.563862,934.66,11.5,2.157046795,1.655000091,,
37:21.6,22.601,39.92,93,13.0272131,77.563862,934.54,12,3.403116941,3.238000155,,
37:22.6,22.764,33.48,93,13.0271818,77.563856,934.57,12.7,2.644055843,2.902000189,,
37:23.6,22.789,32.63,93,13.0271696,77.563843,934.74,11.2,1.73932457,1.724000096,,
37:24.6,23.041,24.28,93,13.0271681,77.5638276,934.74,11.9,2.560729742,1.984000087,,
37:25.6,22.966,27.25,92,13.0271694,77.5638013,934.73,11.8,2.694845438,2.622000217,,
37:26.6,22.722,36.62,92,13.0271771,77.563782,934.63,11.7,2.354549646,2.501000166,,
37:27.6,22.74,35.83,92,13.0271885,77.563771,934.44,12.4,1.71421504,1.276000023,,
37:28.6,23.026,25.2,92,13.0272115,77.5637702,934.43,11.9,2.980745554,2.392000198,,
37:29.7,22.942,27.85,92,13.0272348,77.5637735,934.45,12,3.586624861,3.451000214,,
37:30.7,22.807,33.28,92,13.0272636,77.5637822,934.4,12.6,2.208389044,2.669000149,,
37:31.7,22.645,39.16,92,13.0272686,77.5637964,934.5,10.1,2.084445953,1.432000041,,
37:32.7,22.791,33.49,92,13.0272646,77.5638137,934.46,13,2.887666464,2.515000105,,
37:33.7,22.784,33.5,92,13.0272567,77.5638431,934.38,12.3,2.996431112,3.052000046,,
37:34.7,22.752,34.5,92,13.0272426,77.5638616,934.43,10.4,2.202236176,2.391000032,,
37:35.7,22.809,32.16,92,13.0272262,77.5638636,934.49,11.2,2.560465574,2.193000078,,
37:36.7,22.939,27.42,92,13.0271983,77.56386,934.57,12.9,3.030145884,2.746000052,,
37:37.7,22.745,34.24,92,13.0271733,77.5638513,934.57,12.3,2.398853064,2.601000071,,
37:38.7,22.777,32.94,92,13.0271663,77.5638389,934.59,11.8,2.184500694,1.863000035,,
37:39.7,22.679,35.99,92,13.0271693,77.5638168,934.58,12.3,2.750001669,2.491000175,,
37:40.8,22.968,25.8,92,13.0271766,77.5637904,934.61,13,2.7434659,2.832000017,,
37:41.8,23.015,24.43,92,13.0271771,77.5637713,934.62,12.5,1.345919609,1.896000147,,
37:42.8,22.699,35.78,92,13.0271786,77.5637633,934.59,12,1.208068967,0.900000036,,
37:43.8,22.959,26.3,92,13.0271961,77.5637674,934.62,12.5,3.088187695,2.639000177,,
37:44.8,22.975,25.93,92,13.0272211,77.5637762,934.8,11.6,3.993128777,3.783000231,,
37:45.8,22.772,33.56,92,13.0272564,77.5637876,934.5,13,2.741343498,3.284000158,,
37:46.8,22.995,25.43,92,13.0272684,77.5637959,934.55,11.4,1.212161303,1.343000054,,
37:47.8,22.771,33.24,92,13.0272692,77.5638076,934.61,11.5,2.669328451,2.09100008,,
37:48.8,22.803,31.96,92,13.0272612,77.5638353,934.64,10.8,3.356360674,2.838000059,,
37:49.8,22.89,28.17,92,13.0272441,77.5638583,934.53,11.3,2.664875269,2.671000242,,
37:50.8,22.861,29.08,92,13.0272272,77.5638642,934.61,12.4,2.673670769,2.501000166,,
37:51.8,22.589,39.33,92,13.0272023,77.5638667,934.57,11.8,2.627615213,2.520000219,,
37:52.8,22.667,35.82,92,13.027184,77.5638573,934.52,11.6,2.138800144,2.067000151,,
37:53.9,22.903,26.87,91,13.0271735,77.563838,934.56,12.6,2.521430016,2.430000067,,
37:54.9,22.677,35.08,91,13.0271715,77.5638175,934.47,12.5,2.907453775,2.68900013,,
37:55.9,22.745,33.01,91,13.0271746,77.5637887,934.46,12.2,2.792779446,2.872000217,,
37:56.9,22.991,24.08,91,13.0271867,77.5637704,934.51,12,2.107651472,2.188000202,,
37:57.9,22.817,30.46,91,13.0272107,77.5637697,934.51,11.6,2.847581625,2.287000179,,
37:58.9,22.857,28.67,91,13.0272317,77.563773,934.58,11.5,3.491355896,3.2900002,,
37:59.9,22.631,37.02,91,13.0272589,77.5637795,934.48,11.4,2.589112997,2.820000172,,
